Kingdom	Phylum	0-12	0-13	0-22	0-23	0-32	0-33	0-42	0-43	0-52	0-53	0-62	0-63	0-72	0-73	0-82	0-83	21-11	21-12	21-13	21-21	21-22	21-23	21-31	21-32	21-33	21-41	21-42	21-43	21-51	21-52	21-53	21-61	21-62	21-63	21-71	21-72	21-73	21-81	21-82	21-83	35-11	35-12	35-21	35-22	35-23	35-31	35-32	35-33	35-41	35-42	35-43	35-51	35-52	35-53	35-61	35-62	35-63	35-71	35-72	35-73	35-81	35-82	35-83
Archaea	Euryarchaeota	1140	658	1106	499	1698	1469	457	1008	880	1252	2240	1239	137	2195	163	175	1416	334	547	824	131	1046	1503	448	194	172	686	23	180	1671	308	932	1821	11	2304	147	644	1669	248	627	658	220	1119	24	179	4839	4096	2855	897	843	49	659	3272	145	230	4777	28	1015	378	685	703	1993	334
Archaea	Thermoplasmatota	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	13	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
Bacteria	Actinobacteriota	6204	5952	6751	4383	9417	7721	5117	5936	10819	2773	9857	10635	6685	4877	2108	6124	26038	6284	12680	10719	10979	26119	8040	888	12238	9595	7407	2769	7486	25248	1242	15088	8341	7658	27326	16925	773	22240	2759	6976	16390	4702	8948	4252	4774	12280	6054	7273	5741	9745	5649	7721	7236	719	16076	5030	2234	2713	3605	10675	13350	8014	1041
Bacteria	Bacteroidota	1481	6479	3915	8473	8679	3609	1320	14869	3845	6306	27427	10630	2886	1487	9490	18354	3856	34692	27176	6384	5669	7988	3002	3757	11114	1205	14097	40250	4955	5960	80719	25393	9378	41401	32124	35833	35179	3057	21682	9787	14149	15522	16654	8429	13214	15520	19572	3578	19073	3776	20351	3815	7866	85819	6124	5205	4444	16344	31382	1709	1254	6016	24106
Bacteria	Campylobacterota	0	3	0	0	0	2	26	0	0	0	3	0	0	0	0	0	0	9	32	6	0	0	0	3	0	0	7	0	33	0	11	8	0	0	4	29	26	0	5	9	0	14	11	4	0	27	13	0	4	0	0	0	7	5	4	10	0	34	24	0	0	38	22
Bacteria	Chloroflexi	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Cyanobacteria	71	222	103	755	117	330	64	525	261	298	511	320	54	38	154	148	27	0	13	180	83	97	416	9	48	190	572	6	330	121	0	267	80	0	21	14	25	4	31	60	126	85	5	25	24	166	1041	512	104	525	38	43	168	0	11	179	3	116	63	366	30	109	45
Bacteria	Deinococcota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Desulfobacterota	0	0	0	0	0	0	16	0	0	0	6	12	17	6	16	0	0	0	82	10	13	13	6	11	13	0	7	0	14	0	98	0	0	0	0	12	350	0	13	42	0	0	5	0	4	0	24	0	9	0	13	19	0	176	5	0	0	5	0	15	0	6	9
Bacteria	Elusimicrobiota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	5	0	0	0	4	0	0	0	30	0	0	4	0	9	0	0	0	0	0	0	0	0	6	0	0	143	0	0	0	0	0	12	0	0	288	0	10	0	2	15
